repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,39,16443770.232125802,16443770.2321258,16443770.2321258,108,108,0,2.001237630844116,0.9689469337463379,1.0322906970977783,0,"[37.0, -0.0, 177.0, 2281.0, 40.0, 192.0]"
0,40,17520408.084075555,17520408.084075544,17520408.084075548,97,97,0,2.1057276725769043,1.123823642730713,0.9819040298461914,0,"[44.0, 3.0, 161.0, 2543.0, 40.0, 176.0]"
0,41,16038164.235844241,16038164.23584424,16038164.23584424,88,88,0,1.4894671440124512,0.6714048385620117,0.8180623054504395,0,"[43.0, 1.0, 157.0, 2780.0, 36.0, 191.0]"
0,42,14657922.124324346,14657922.12432435,14657922.124324348,84,84,0,1.469433307647705,0.685020923614502,0.7844123840332031,0,"[-0.0, -0.0, 169.0, 2192.0, 34.0, 267.0]"
0,43,16028475.667349039,16028475.667349033,16028475.66734904,102,102,0,1.6914646625518799,0.7660033702850342,0.9254612922668457,0,"[46.0, -0.0, 158.0, 2218.0, 36.0, 80.0]"
0,44,15802623.180114847,15802623.180114854,15802623.180114854,94,94,0,1.5073575973510742,0.6538910865783691,0.8534665107727051,0,"[57.0, 1.0, 162.0, 2181.0, 34.0, 75.0]"
0,45,17310338.56754962,17310338.5675496,17310338.5675496,99,99,0,1.7026968002319336,0.806830644607544,0.8958661556243896,0,"[69.0, -0.0, 159.0, 2481.0, 33.0, 126.0]"
0,46,15817802.19130886,15817802.191308865,15817802.191308863,95,95,0,1.7927629947662354,0.9061238765716553,0.8866391181945801,0,"[46.0, -0.0, 168.0, 2342.0, 34.0, 129.0]"
0,47,20052211.00257899,20052211.002579004,20052211.002579004,80,80,0,1.6261582374572754,0.8197529315948486,0.8064053058624268,0,"[69.0, 4.0, 186.0, 3023.0, 39.0, 16.0]"
0,48,17677233.065249786,17677233.065249793,17677233.065249793,104,104,0,2.474196672439575,1.2663185596466064,1.2078781127929688,0,"[49.0, 2.0, 188.0, 2502.0, 38.0, 199.0]"
0,49,17709224.99598109,17709224.995981105,17709224.995981105,86,86,0,1.8889546394348145,0.8991129398345947,0.9898416996002197,0,"[60.0, -0.0, 181.0, 2806.0, 38.0, 110.0]"
0,50,18443384.380119644,18443384.38011965,18443384.38011965,98,98,0,1.9766170978546143,0.9335310459136963,1.043086051940918,0,"[61.0, -0.0, 177.0, 2514.0, 39.0, 78.0]"
0,51,21217155.030631553,21217155.030631542,21217155.030631542,79,79,0,0.9806532859802246,0.2836143970489502,0.6970388889312744,0,"[60.0, -0.0, 179.0, 3693.0, 41.0, 61.0]"
0,52,19283761.242272943,19283761.242272936,19283761.242272936,82,82,0,1.3480384349822998,0.6121823787689209,0.7358560562133789,0,"[68.0, -0.0, 192.0, 2606.0, 40.0, 3.0]"
0,53,20061173.857876804,20061173.857876807,20061173.857876807,88,88,0,1.6100504398345947,0.8274626731872559,0.7825877666473389,0,"[75.0, 1.0, 193.0, 2747.0, 40.0, 157.0]"
0,54,20557555.07703166,20557555.077031642,20557555.077031646,95,95,0,1.5978584289550781,0.7447352409362793,0.8531231880187988,0,"[75.0, 1.0, 207.0, 2402.0, 42.0, -0.0]"
