repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,12,28335724.44464225,28335724.44464224,28335724.44464224,75,67,8,1.032238245010376,0.4327523708343506,0.5928614139556885,0.006624460220336914,"[97.0, -0.0, 223.0, 3975.0, 60.0, -0.0]"
0,13,23489222.542684548,23489222.54268455,23489222.54268455,87,70,17,1.221670389175415,0.5805985927581787,0.6258268356323242,0.01524496078491211,"[65.0, 2.0, 226.0, 2659.0, 55.0, 18.0]"
0,14,24537275.69054854,24537275.69054851,24537275.690548506,82,68,14,1.2735683917999268,0.6643691062927246,0.5977652072906494,0.011434078216552734,"[72.0, 1.0, 238.0, 3265.0, 55.0, -0.0]"
0,15,23208052.78681407,23208052.786814056,23208052.786814053,81,71,10,1.220353603363037,0.5683112144470215,0.6437892913818359,0.008253097534179688,"[75.0, 1.0, 229.0, 2579.0, 53.0, -0.0]"
0,16,24662755.564500965,24662755.564500954,24662755.56450095,84,68,16,1.168159008026123,0.5310378074645996,0.6239688396453857,0.013152360916137695,"[98.0, -0.0, 223.0, 2531.0, 58.0, -0.0]"
0,17,23558447.156528227,23558447.156528234,23558447.156528234,85,73,12,1.2306840419769287,0.5744414329528809,0.6449098587036133,0.01133275032043457,"[67.0, -0.0, 215.0, 3621.0, 53.0, -0.0]"
0,18,21189248.60992637,21189248.609926373,21189248.60992637,83,68,15,1.2227885723114014,0.6175148487091064,0.5923581123352051,0.012915611267089844,"[65.0, -0.0, 191.0, 2698.0, 52.0, 104.0]"
0,19,20324565.100870986,20324565.100870997,20324565.100870967,98,85,13,1.6635518074035645,0.8642690181732178,0.7875149250030518,0.011767864227294922,"[-0.0, 17.0, 184.0, 2497.0, 46.0, 439.0]"
0,20,18126230.692286234,18126230.692286268,18126230.69228627,98,88,10,1.6547091007232666,0.8254258632659912,0.820622444152832,0.00866079330444336,"[46.0, 14.0, 171.0, 2306.0, 39.0, 217.0]"
0,21,17353277.912773166,17353277.91277317,17353277.91277317,84,71,13,1.1007583141326904,0.39639878273010254,0.6934630870819092,0.010896444320678711,"[62.0, -0.0, 170.0, 2233.0, 40.0, -0.0]"
0,22,17844324.545853395,17844324.545853414,17844324.545853414,120,109,11,2.1039109230041504,1.0379524230957031,1.056316614151001,0.009641885757446289,"[52.0, 3.0, 169.0, 2297.0, 39.0, 35.0]"
0,23,19210399.622772664,19210399.622772686,19210399.62277269,91,81,10,1.4393322467803955,0.6511101722717285,0.7773361206054688,0.010885953903198242,"[58.0, -0.0, 185.0, 2938.0, 42.0, 101.0]"
0,24,16549886.033973323,16549886.033973332,16549886.033973329,86,74,12,1.1820120811462402,0.49721550941467285,0.6735308170318604,0.011265754699707031,"[56.0, -0.0, 170.0, 2432.0, 39.0, -0.0]"
0,25,16408315.113327542,16408315.113327544,16408315.113327544,102,91,11,1.5228960514068604,0.6818201541900635,0.8317379951477051,0.009337902069091797,"[52.0, 10.0, 162.0, 2391.0, 37.0, 147.0]"
0,26,16210636.112717444,16210636.112717435,16210636.112717435,96,84,12,1.311138391494751,0.5513436794281006,0.7495124340057373,0.010282278060913086,"[60.0, -0.0, 170.0, 2128.0, 37.0, 129.0]"
0,27,16985094.081602007,16985094.081602015,16985094.081602015,105,92,13,1.8184044361114502,0.9874849319458008,0.8201804161071777,0.01073908805847168,"[46.0, 20.0, 165.0, 2637.0, 38.0, 295.0]"
0,28,15428866.189266153,15428866.189266158,15428866.189266156,113,93,20,1.8289928436279297,0.9579434394836426,0.8542819023132324,0.016767501831054688,"[57.0, -0.0, 176.0, 2300.0, 37.0, 274.0]"
0,29,17804265.43480101,17804265.434800975,17804265.434800975,100,87,13,1.8506982326507568,1.0299854278564453,0.8088710308074951,0.011841773986816406,"[45.0, -0.0, 176.0, 3181.0, 38.0, 222.0]"
0,30,16440999.330924276,16440999.330924276,16440999.330924187,108,95,13,1.6921639442443848,0.7920939922332764,0.8888115882873535,0.011258363723754883,"[46.0, 4.0, 166.0, 2592.0, 39.0, 119.0]"
0,31,15949531.010276351,15949531.010276342,15949531.01027634,105,93,12,1.5771293640136719,0.7081117630004883,0.8581497669219971,0.010867834091186523,"[62.0, -0.0, 174.0, 2514.0, 35.0, 385.0]"
0,32,15833845.116530396,15833845.116530422,15833845.116530418,100,86,14,1.3919482231140137,0.5695364475250244,0.8108696937561035,0.011542081832885742,"[60.0, 1.0, 162.0, 2314.0, 38.0, 122.0]"
0,33,18452589.33319558,18452589.333195597,18452589.333195474,92,83,9,1.5461928844451904,0.7616856098175049,0.7764105796813965,0.008096694946289062,"[45.0, 1.0, 177.0, 3290.0, 38.0, 245.0]"
0,34,17520820.193474054,17520820.19347406,17520820.19347406,122,106,16,1.8853955268859863,0.9315028190612793,0.9405815601348877,0.013311147689819336,"[60.0, 18.0, 163.0, 3120.0, 36.0, 301.0]"
0,35,16250464.717147708,16250464.717147708,16250464.717147708,108,98,10,2.1525120735168457,1.2576298713684082,0.8847312927246094,0.010150909423828125,"[24.0, 7.0, 180.0, 2414.0, 37.0, 481.0]"
0,36,16991187.066727255,16991187.06672726,16991187.06672726,114,106,8,2.0687735080718994,1.0289113521575928,1.0324585437774658,0.00740361213684082,"[52.0, -0.0, 182.0, 2130.0, 40.0, 402.0]"
0,37,17425794.496298473,17425794.496298477,17425794.496298477,105,94,11,1.9410371780395508,1.0273633003234863,0.9036333560943604,0.010040521621704102,"[40.0, 1.0, 180.0, 2609.0, 40.0, 274.0]"
0,38,16807415.41401359,16807415.41401358,16807415.41401358,114,105,9,2.036569595336914,0.9431531429290771,1.085312843322754,0.008103609085083008,"[58.0, -0.0, 167.0, 2831.0, 34.0, 243.0]"
0,39,16443770.232125802,16443770.2321258,16443770.2321258,105,91,14,2.4713077545166016,1.5613281726837158,0.896183967590332,0.013795614242553711,"[37.0, -0.0, 177.0, 2281.0, 40.0, 192.0]"
0,40,17520408.084075555,17520408.084075544,17520408.084075548,99,89,10,1.4976181983947754,0.6077027320861816,0.8812015056610107,0.008713960647583008,"[44.0, 3.0, 161.0, 2543.0, 40.0, 176.0]"
0,41,16038164.235844241,16038164.23584424,16038164.23584424,84,71,13,1.338108777999878,0.5633471012115479,0.7627432346343994,0.012018442153930664,"[43.0, 1.0, 157.0, 2780.0, 36.0, 191.0]"
0,42,14657922.124324346,14657922.12432435,14657922.124324348,88,70,18,1.3680875301361084,0.6744222640991211,0.6757357120513916,0.017929553985595703,"[-0.0, -0.0, 169.0, 2192.0, 34.0, 267.0]"
0,43,16028475.667349039,16028475.667349033,16028475.667349042,104,91,13,1.6466071605682373,0.7430064678192139,0.8908407688140869,0.012759923934936523,"[46.0, -0.0, 158.0, 2218.0, 36.0, 80.0]"
0,44,15802623.180114847,15802623.180114854,15802623.180114854,101,90,11,1.588597297668457,0.7619330883026123,0.8173501491546631,0.00931406021118164,"[57.0, 1.0, 162.0, 2181.0, 34.0, 75.0]"
