repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,35,16250464.717147708,886617094.7374009,2858366.6666666656,10,0,10,0.029634475708007812,0.02167034149169922,0,0.007964134216308594,"[24.0, 7.0, 180.0, 2414.0, 37.0, 481.0]"
0,36,16991187.066727255,1029075895.0233825,3075633.333333332,8,0,8,0.026470422744750977,0.01970505714416504,0,0.0067653656005859375,"[52.0, -0.0, 182.0, 2130.0, 40.0, 402.0]"
0,37,17425794.496298473,628611876.986292,3119699.999999999,11,0,11,0.028961181640625,0.01975846290588379,0,0.009202718734741211,"[40.0, 1.0, 180.0, 2609.0, 40.0, 274.0]"
0,38,16807415.41401359,665819891.8022946,2597433.333333332,9,0,9,0.017826557159423828,0.010635137557983398,0,0.00719141960144043,"[58.0, -0.0, 167.0, 2831.0, 34.0, 243.0]"
0,39,16443770.232125802,651912317.1874644,3110633.333333332,14,0,14,0.04733848571777344,0.03589653968811035,0,0.011441946029663086,"[37.0, -0.0, 177.0, 2281.0, 40.0, 192.0]"
0,40,17520408.084075555,631044186.005977,3110333.3333333326,10,0,10,0.022324562072753906,0.013798236846923828,0,0.008526325225830078,"[44.0, 3.0, 161.0, 2543.0, 40.0, 176.0]"
0,41,16038164.235844241,587180754.0189694,2666466.6666666656,13,0,13,0.028000354766845703,0.01724696159362793,0,0.010753393173217773,"[43.0, 1.0, 157.0, 2780.0, 36.0, 191.0]"
0,42,14657922.124324346,544097787.2850237,2547099.9999999986,18,0,18,0.03962087631225586,0.025043725967407227,0,0.014577150344848633,"[-0.0, -0.0, 169.0, 2192.0, 34.0, 267.0]"
0,43,16028475.667349039,724324069.4438446,2547033.3333333326,13,0,13,0.033391475677490234,0.022237300872802734,0,0.0111541748046875,"[46.0, -0.0, 158.0, 2218.0, 36.0, 80.0]"
0,44,15802623.180114847,717519555.2662861,2411699.9999999986,11,0,11,0.03136181831359863,0.022223711013793945,0,0.009138107299804688,"[57.0, 1.0, 162.0, 2181.0, 34.0, 75.0]"
0,45,17310338.56754962,741359099.0961463,2192033.333333332,8,0,8,0.016603946685791016,0.010103940963745117,0,0.0065000057220458984,"[69.0, -0.0, 159.0, 2481.0, 33.0, 126.0]"
0,46,15817802.19130886,745230427.0990977,2317699.9999999986,15,0,15,0.035886526107788086,0.024026155471801758,0,0.011860370635986328,"[46.0, -0.0, 168.0, 2342.0, 34.0, 129.0]"
0,47,20052211.00257899,793446528.5559324,2747333.333333332,7,0,7,0.015489816665649414,0.009478330612182617,0,0.006011486053466797,"[69.0, 4.0, 186.0, 3023.0, 39.0, 16.0]"
0,48,17677233.065249786,650611062.4580764,2815033.333333332,11,0,11,0.026781558990478516,0.017494678497314453,0,0.009286880493164062,"[49.0, 2.0, 188.0, 2502.0, 38.0, 199.0]"
0,49,17709224.99598109,694965340.666357,2682199.999999999,11,0,11,0.023775100708007812,0.014810800552368164,0,0.008964300155639648,"[60.0, -0.0, 181.0, 2806.0, 38.0, 110.0]"
0,50,18443384.380119644,738729322.6029863,2835899.999999999,10,0,10,0.019014358520507812,0.010985136032104492,0,0.00802922248840332,"[61.0, -0.0, 177.0, 2514.0, 39.0, 78.0]"
0,51,21217155.030631553,725621573.5209937,2994166.6666666656,11,0,11,0.02615976333618164,0.017096519470214844,0,0.009063243865966797,"[60.0, -0.0, 179.0, 3693.0, 41.0, 61.0]"
0,52,19283761.242272943,688249867.3750956,2835899.999999999,12,0,12,0.0220794677734375,0.011876583099365234,0,0.010202884674072266,"[68.0, -0.0, 192.0, 2606.0, 40.0, 3.0]"
0,53,20061173.857876804,673782035.837209,2921833.333333332,11,0,11,0.022784948348999023,0.0137481689453125,0,0.009036779403686523,"[75.0, 1.0, 193.0, 2747.0, 40.0, 157.0]"
0,54,20557555.07703166,813661455.2345048,3045099.999999999,10,0,10,0.023897409439086914,0.01547694206237793,0,0.008420467376708984,"[75.0, 1.0, 207.0, 2402.0, 42.0, -0.0]"
0,55,22223956.22668862,634036103.7131736,3174866.6666666656,12,0,12,0.022093534469604492,0.012620925903320312,0,0.00947260856628418,"[84.0, 10.0, 205.0, 2091.0, 44.0, -0.0]"
0,56,22869762.527997322,641998013.4787571,3202833.333333332,11,0,11,0.022870779037475586,0.014207839965820312,0,0.008662939071655273,"[57.0, 5.0, 227.0, 2096.0, 45.0, 24.0]"
0,57,29005885.51427178,760833530.7511363,3941999.999999999,15,0,15,0.028852462768554688,0.01647496223449707,0,0.012377500534057617,"[83.0, -0.0, 242.0, -0.0, 55.0, 9.0]"
0,58,28138677.498737667,746057442.5945348,3844166.6666666656,12,0,12,0.02774786949157715,0.015570402145385742,0,0.012177467346191406,"[94.0, 2.0, 230.0, -0.0, 53.0, -0.0]"
0,59,24355663.033161387,701164150.9330158,3469433.3333333326,11,0,11,0.026363372802734375,0.016989707946777344,0,0.009373664855957031,"[90.0, -0.0, 235.0, 2995.0, 49.0, -0.0]"
0,60,25298563.24519529,678554687.190477,3528666.6666666656,11,0,11,0.022392749786376953,0.012459039688110352,0,0.009933710098266602,"[92.0, -0.0, 248.0, 1864.0, 48.0, -0.0]"
0,61,26858183.452747744,840517434.7463297,3628899.999999999,9,0,9,0.0244903564453125,0.014442920684814453,0,0.010047435760498047,"[83.0, -0.0, 247.0, 3019.0, 50.0, -0.0]"
0,62,25634222.218595367,673561653.078615,3250833.333333332,8,0,8,0.018417835235595703,0.010312080383300781,0,0.008105754852294922,"[117.0, -0.0, 249.0, -0.0, 40.0, -0.0]"
0,63,26689027.035384685,681760989.3230541,3633666.6666666656,12,0,12,0.026905059814453125,0.014647483825683594,0,0.012257575988769531,"[86.0, 1.0, 247.0, -0.0, 48.0, -0.0]"
0,64,28782656.261584196,788627125.0028003,3767566.6666666656,9,0,9,0.01981639862060547,0.011317968368530273,0,0.008498430252075195,"[85.0, -0.0, 246.0, -0.0, 50.0, -0.0]"
0,65,31761084.96576832,832548407.0885463,4733666.666666666,10,0,10,0.023185014724731445,0.013779163360595703,0,0.009405851364135742,"[98.0, 9.0, 252.0, -0.0, 63.0, -0.0]"
0,66,29595966.32218412,761761602.7586355,4396166.666666666,14,0,14,0.02853989601135254,0.016640424728393555,0,0.011899471282958984,"[90.0, -0.0, 244.0, -0.0, 58.0, -0.0]"
0,67,29182532.939268067,714093550.8337059,4390333.333333332,13,0,13,0.032145023345947266,0.020188331604003906,0,0.01195669174194336,"[105.0, -0.0, 246.0, -0.0, 57.0, -0.0]"
0,68,31953416.090164635,885359356.6397883,4514966.666666666,14,0,14,0.03430652618408203,0.02039647102355957,0,0.013910055160522461,"[122.0, -0.0, 249.0, -0.0, 59.0, -0.0]"
0,69,29622795.34574333,740462488.2730097,4429833.333333333,17,0,17,0.04017472267150879,0.022805452346801758,0,0.01736927032470703,"[99.0, -0.0, 256.0, -0.0, 60.0, -0.0]"
0,70,26241327.328284483,648178000.127854,3981499.999999999,23,0,23,0.04717206954956055,0.026936054229736328,0,0.02023601531982422,"[76.0, -0.0, 233.0, -0.0, 54.0, -0.0]"
0,71,21889673.834229067,651720669.0399709,3452833.3333333326,12,0,12,0.029222965240478516,0.0179135799407959,0,0.011309385299682617,"[107.0, -0.0, 205.0, -0.0, 46.0, 0.0]"
0,72,22028181.198306136,818559972.0372152,3345166.666666666,13,0,13,0.0352170467376709,0.023427963256835938,0,0.011789083480834961,"[63.0, -0.0, 186.0, -0.0, 50.0, -0.0]"
